serialnumber,CruiseNumber,day,month,year,time,fecha3,Site,STATION,latitude,longitude,CTD,Depth,Fucoxanthin,Peridinin,Alloxanthin,19'-Butanoyloxyfucoxanthin,19'-Hexanoyloxyfucoxanthin,Zeaxanthin,TChlb,Divinyl_Chlorophyll_a,Chla,Tchla,DP_Uitz2006,[%Micro_Uitz],[%Nano_Uitz],[%Pico_Uitz],[MicroChl_Uitz],[NanoChl_Uitz],[PicoChl_Uitz],DP_CNR2017,[%Micro_CNR2017],[%Nano_CNR2017],[%Pico_CNR2017],Diatoms_Chl,Dinofl_Chl,Crypto_Chl,Prymnesio_Chl,Cocco_Chl,Cyanobac_Chl,Picoeukar_Chl
1,1,24,7,2001,NA,2001-07-24,boussole,B2407QU01,43.367,7.9,NA,1,0.007,0.013,0,0.01,0.03,0.013,0.011,0,0.116,0.116,0.0921,30.6222,45.1732,24.2046,0.0355,0.0524,0.0281,0.107,30.7685,38.4256,30.8059,0.01243262,0.023089152,0,0.004408731,0.047992182,0.014082745,0.013994571
2,1,24,7,2001,NA,2001-07-24,boussole,B2407QU02,43.367,7.9,NA,1,0.004,0.008,0,0.007,0.022,0.011,0,0,0.086,0.086,0.0568,29.8045,53.5318,16.6637,0.0256,0.046,0.0143,0.0694,28.4726,43.1556,28.3718,0.008543949,0.017087899,0,0.003711467,0.042325876,0.014330809,0
3,1,22,7,2001,13.6,2001-07-22,boussole,B2207001,43.365,7.905,1,5,0.005,0.011,0,0.01,0.039,0.017,0.011,0,0.118,0.118,0.1013,22.2661,52.3391,25.3948,0.0263,0.0618,0.03,0.1182,22.3096,43.7563,33.934,0.00821062,0.018063364,0,0.004076194,0.057683972,0.017026846,0.012939005
4,1,22,7,2001,15.57,2001-07-22,boussole,B2207002,43.344,7.922,2,5,0.013,0.01,0,0.009,0.037,0.015,0,0,0.117,0.117,0.0955,33.9688,52.5191,13.5121,0.0397,0.0614,0.0158,0.1131,33.1448,43.1236,23.7317,0.022463706,0.017279774,0,0.003860375,0.057586991,0.015809155,0
5,1,23,7,2001,12.2,2001-07-23,boussole,B2307003,43.393,7.937,3,5,0.005,0.02,0,0.008,0.035,0.014,0,0,0.117,0.117,0.0945,37.2858,49.9788,12.7354,0.0436,0.0585,0.0149,0.1123,36.859,40.8298,22.3113,0.008724878,0.034899513,0,0.0034652,0.055010049,0.01490036,0
6,1,23,7,2001,15.87,2001-07-23,boussole,B2307004,43.382,7.929,4,5,0.007,0.015,0,0.009,0.039,0.014,0.009,0,0.115,0.115,0.1048,29.5908,50.2528,20.1564,0.034,0.0578,0.0232,0.1204,30.113,42.4904,27.3966,0.01082753,0.023201851,0,0.003455595,0.054335114,0.013208051,0.009971859
7,1,24,7,2001,7.63,2001-07-24,boussole,B2407005,43.367,7.904,5,5,0.013,0.033,0,0.021,0.074,0.027,0.018,0,0.214,0.214,0.2076,31.2443,48.8126,19.9432,0.0669,0.1045,0.0427,0.2394,31.7124,41.4797,26.8079,0.018895997,0.047966761,0,0.007576955,0.096881931,0.023936991,0.018741365
8,1,24,7,2001,9.63,2001-07-24,boussole,B2407006,43.373,7.901,6,5,0.006,0.011,0,0.01,0.037,0.017,0,0,0.117,0.117,0.0891,26.9084,56.6794,16.4122,0.0315,0.0663,0.0192,0.1078,25.9558,45.8055,28.2387,0.011111585,0.020371239,0,0.004596991,0.061717894,0.01920229,0
9,1,24,7,2001,13.83,2001-07-24,boussole,B2407007,43.383,7.902,7,5,0.005,0,0,0.006,0.024,0.011,0,0,0.067,0.067,0.0491,14.3614,66.3679,19.2707,0.0096,0.0445,0.0129,0.0594,13.4612,53.4074,33.1314,0.009622123,0,0,0.002866164,0.041600326,0.012911387,0
10,2,2,9,2001,7.42,2001-09-02,boussole,B090101,43.368,7.898,1,10,0,0,0,0,0.005,0.008,0,0,0.023,0.023,0.0132,0,47.997,52.003,0,0.011,0.012,0.0202,0,29.179,70.821,0,0,0,0,0.011039305,0.011960695,0
11,2,2,9,2001,11.43,2001-09-02,boussole,B0901-21,43.362,7.884,2,10,0,0,0,0,0.012,0.029,0,0.009,0.067,0.076,0.0402,0,37.9293,62.0707,0,0.0288,0.0472,0.0661,0,21.4318,78.5682,0,0,0,0,0.028826282,0.047173718,0
12,2,2,9,2001,11.43,2001-09-02,boussole,B0901-22,43.362,7.884,2,5,0,0,0,0,0.011,0.029,0,0.007,0.054,0.061,0.0389,0,35.9034,64.0966,0,0.0219,0.0391,0.0649,0,20.0031,79.9969,0,0,0,0,0.021901054,0.039098946,0
13,2,2,9,2001,15.48,2001-09-02,boussole,B0901-31,43.37,7.886,3,10,0,0,0,0,0.013,0.03,0,0,0.068,0.068,0.0423,0,39.0215,60.9785,0,0.0265,0.0415,0.069,0,22.219,77.781,0,0,0,0,0.026534625,0.041465375,0
14,2,2,9,2001,15.48,2001-09-02,boussole,B0901-32,43.37,7.886,3,5,0,0,0,0,0.008,0.026,0,0,0.045,0.045,0.0325,0,31.2423,68.7577,0,0.0141,0.0309,0.056,0,16.8632,83.1368,0,0,0,0,0.014059041,0.030940959,0
20,2,3,9,2001,8.2,2001-09-03,boussole,B0901-406,43.372,7.907,4,70,0.006,0,0,0.008,0.019,0,0,0,0.037,0.037,0.0354,23.9051,76.0949,0,0.0088,0.0282,0,0.0366,26.2438,73.7562,0,0.008844871,0,0,0.002927381,0.025227748,0,0
21,2,3,9,2001,8.2,2001-09-03,boussole,B0901-407,43.372,7.907,4,50,0.011,0,0,0.01,0.038,0,0,0,0.084,0.084,0.0673,23.0563,76.9437,0,0.0194,0.0646,0,0.0681,25.8292,74.1708,0,0.019367326,0,0,0.004370447,0.060262227,0,0
22,2,3,9,2001,8.2,2001-09-03,boussole,B0901-409,43.372,7.907,4,30,0.016,0.035,0.005,0.033,0.145,0.073,0.065,0.042,0.428,0.47,0.399,18.0207,49.7945,32.1847,0.0847,0.234,0.1513,0.4753,17.6825,42.7934,39.5241,0.026571772,0.058125752,0.00353348,0.013603899,0.216896802,0.073943966,0.077324328
23,2,3,9,2001,8.2,2001-09-03,boussole,B0901-410,43.372,7.907,4,20,0.007,0.014,0,0.014,0.065,0.04,0.027,0.011,0.2,0.211,0.1787,16.5669,48.9286,34.5046,0.035,0.1032,0.0728,0.2146,16.1122,39.4558,44.432,0.011652045,0.02330409,0,0.005784703,0.09745454,0.040610977,0.032193644
24,2,3,9,2001,8.2,2001-09-03,boussole,B0901-411,43.372,7.907,4,10,0,0,0,0,0.021,0.036,0,0.014,0.093,0.107,0.0576,0,46.278,53.722,0,0.0495,0.0575,0.0892,0,27.774,72.226,0,0,0,0,0.049517439,0.057482561,0
25,2,3,9,2001,8.2,2001-09-03,boussole,B0901-412,43.372,7.907,4,5,0,0,0,0,0.008,0.03,0,0.011,0.051,0.062,0.036,0,28.2536,71.7464,0,0.0175,0.0445,0.0631,0,14.9509,85.0491,0,0,0,0,0.017517241,0.044482759,0
26,2,3,9,2001,11.33,2001-09-03,boussole,B0901-51,43.371,7.891,5,10,0,0.009,0,0.007,0.04,0.036,0.026,0.015,0.153,0.169,0.1232,10.3037,43.2364,46.4599,0.0174,0.0731,0.0785,0.1535,9.789,33.3398,56.8712,0,0.017413202,0,0.003361887,0.069707697,0.042483274,0.03603394
27,2,3,9,2001,11.33,2001-09-03,boussole,B0901-52,43.371,7.891,5,5,0,0,0,0,0.01,0.024,0,0,0.058,0.058,0.0333,0,38.0924,61.9076,0,0.0221,0.0359,0.0548,0,21.5486,78.4514,0,0,0,0,0.022093581,0.035906419,0
