formulation,file,folder,initX3c,rX3,bX3,IX3,bX2,epsP1,epsP2,epsP3,epsP4,p_qlcPPY(P1),p_qlcPPY(P2),p_qlcPPY(P3),p_qlcPPY(P4),p_QY(P1),p_QY(P2),p_QY(P3),p_QY(P4),fX2(P1),fX2(P2),fX2(P3),fX2(P4),fX1(Z5),fX1(Z6),fX3,bpsP1,bpsP2,bpsP3,bpsP4,aparcoeff,bparcoeff,bbrP1,bbrP2,bbrP3,bbrP4,bb_to_b,SdomX1,SdomX2,SdomX3,X1coeff,X2coeff,X3coeff,B1/p_pu_ra,Z5/p_sum,Z6/p_sum,P3/p_qpcPPY,P1/p_qplc,P1/p_srs,R6/rm,P2/p_q10,P2/p_sum,P2/p_srs,P2/p_qup,P2/p_qplc,P2/p_qpcPPY,relaxTS,p_sdmo(all),p_thdo(all),p_pu_ea(all),B1/p_suR2,initR1,initR2,initR3
sea,initial,RUNS_carbon,1.25,0.00003,0.167,60,0.167,0.013,0.0167,0.0221,0.0163,0.02,0.02,0.02,0.02,1.08E-03,1.65E-04,4.75E-04,3.09E-04,0.1,0.1,0.1,0.1,0.02,0.02,0.02,0.0034,0.0075,0.0046,0.0008,0.00015,0.0015,0.002,0.0071,0.0039,0.003,0.005,0.017,0.017,0.017,0.015,0.015,0.015,0.76,2.71,3.88,0.00072,0.00057,0.076,4.25,2.25,2.6,0.09,0.0035,0.000352,0.000556,30,0,0,0.10/0.15/0.15/0.20,0.05,80,400,480
sea,initial_bbp,RUNS_carbon,1.25,0.00003,0.167,60,0.167,0.013,0.0167,0.0221,0.0163,0.02,0.02,0.02,0.02,1.08E-03,1.65E-04,4.75E-04,3.09E-04,0.1,0.1,0.1,0.1,0.02,0.02,0.02,0.0068,0.015,0.0092,0.0016,0.0005,0.01,0.002,0.0071,0.0039,0.003,0.005,0.017,0.017,0.017,0.015,0.015,0.015,0.76,2.71,3.88,0.00072,0.00057,0.076,4.25,2.25,2.6,0.09,0.0035,0.000352,0.000556,30,0,0,0.10/0.15/0.15/0.20,0.05,80,400,480
sea,DE27_OPTIM5_1,RUNS_carbon,1.25,0.00003,0.0037,37,0.167,0.013,0.0298,0.0391,0.0193,0.0227,0.042,0.0146,0.02,9.43E-04,2.12E-04,9.11E-04,2.75E-04,0.059,0.057,0.059,0.053,0.051,0.063,0.052,0.0096,0.0098,0.0111,0.0118,0.00056,0.0135,0.0047,0.0038,0.0036,0.0022,0.005,0.0174,0.0169,0.018,0.015,0.015,0.015,0.76,2.71,3.88,0.00072,0.00057,0.076,4.25,2.25,2.6,0.09,0.0035,0.000352,0.000556,30,0,0,0.10/0.15/0.15/0.20,0.05,80,400,480
sea,DE27_OPTIM5_2,RUNS_carbon,1.25,0.00003,0.00156,38,0.167,0.014,0.0326,0.0425,0.0168,0.0238,0.044,0.0142,0.0197,8.61E-04,2.02E-04,9.73E-04,2.56E-04,0.057,0.048,0.037,0.04,0.037,0.05,0.037,0.0108,0.0112,0.0094,0.0113,0.00057,0.0128,0.0047,0.0038,0.0036,0.0022,0.005,0.0172,0.0163,0.018,0.015,0.015,0.015,0.76,2.71,3.88,0.00072,0.00057,0.076,4.25,2.25,2.6,0.09,0.0035,0.000352,0.000556,30,0,0,0.10/0.15/0.15/0.20,0.05,80,400,480
sea,DE27_OPTIM5_3,RUNS_carbon,1.25,0.00003,0.00126,42,0.167,0.0148,0.0319,0.0432,0.0164,0.025,0.044,0.014,0.02,7.79E-04,2.00E-04,9.84E-04,2.67E-04,0.068,0.053,0.033,0.05,0.025,0.05,0.026,0.0111,0.0103,0.0098,0.0104,0.00057,0.00127,0.0047,0.0038,0.0036,0.0022,0.005,0.0177,0.0159,0.0181,0.015,0.015,0.015,0.76,2.71,3.88,0.00072,0.00057,0.076,4.25,2.25,2.6,0.09,0.0035,0.000352,0.000556,30,0,0,0.10/0.15/0.15/0.20,0.05,80,400,480
sea,DE27_OPTIM5_4,RUNS_carbon,1.25,0.00003,0.001225,47.9,0.167,0.0151,0.0297,0.0439,0.0169,0.026,0.0445,0.0141,0.0189,7.56E-04,1.99E-04,9.90E-04,2.80E-04,0.08,0.051,0.034,0.044,0.019,0.033,0.021,0.0135,0.0095,0.0101,0.0102,0.00057,0.0012,0.0047,0.0038,0.0036,0.0022,0.005,0.017,0.016,0.018,0.015,0.015,0.015,0.76,2.71,3.88,0.00072,0.00057,0.076,4.25,2.25,2.6,0.09,0.0035,0.000352,0.000556,30,0,0,0.10/0.15/0.15/0.20,0.05,80,400,480
sea,DE27_OPTIM5_5,RUNS_carbon,1.25,0.00003,0.00119,50,0.167,0.0152,0.0293,0.0443,0.0178,0.026,0.045,0.014,0.019,7.50E-04,1.98E-04,7.87E-04,2.57E-04,0.08,0.043,0.039,0.053,0.018,0.03,0.018,0.014,0.0077,0.0101,0.0112,0.00058,0.0012,0.0047,0.0038,0.0036,0.0022,0.005,0.0175,0.0162,0.018,0.015,0.015,0.015,0.76,2.71,3.88,0.00072,0.00057,0.076,4.25,2.25,2.6,0.09,0.0035,0.000352,0.000556,30,0,0,0.10/0.15/0.15/0.20,0.05,80,400,480
sea,bleaching,RUNS_carbon,1.25,0.00003,0.167,60,0.167,0.0152,0.0293,0.0443,0.0178,0.026,0.045,0.014,0.019,7.50E-04,1.98E-04,7.87E-04,2.57E-04,0.08,0.043,0.039,0.053,0.018,0.03,0.018,0.014,0.0077,0.0101,0.0112,0.00058,0.0012,0.0047,0.0038,0.0036,0.0022,0.005,0.0175,0.0162,0.018,0.015,0.015,0.015,0.76,2.71,3.88,0.00072,0.00057,0.076,4.25,2.25,2.6,0.09,0.0035,0.000352,0.000556,30,0,0,0.10/0.15/0.15/0.20,0.05,80,400,480
sea,nutrients,RUNS_carbon,1.25,0.00003,0.00119,50,0.167,0.0152,0.0293,0.0443,0.0178,0.026,0.045,0.014,0.019,7.50E-04,1.98E-04,7.87E-04,2.57E-04,0.062,0.062,0.062,0.062,0.018,0.03,0.018,0.014,0.0077,0.0101,0.0112,0.00058,0.0012,0.0047,0.0038,0.0036,0.0022,0.005,0.0175,0.0162,0.018,0.015,0.015,0.015,0.76,2.71,3.88,0.00072,0.00057,0.076,4.25,2.25,2.6,0.09,0.0035,0.000352,0.000556,30,0,0,0.10/0.15/0.15/0.20,0.05,80,400,480
seo,constant,RUNS_carbon,1.25,0.00003,0.00119,50,0.167,0.0152,0.0293,0.0443,0.0178,0.026,0.045,0.014,0.019,7.50E-04,1.98E-04,7.87E-04,2.57E-04,0.018,0.018,0.018,0.018,0.018,0.03,0.018,0.014,0.0077,0.0101,0.0112,0.00058,0.0012,0.0047,0.0038,0.0036,0.0022,0.005,0.0175,0.0162,0.018,0.015,0.015,0.015,0.76,2.71,3.88,0.00072,0.00057,0.076,4.25,2.25,2.6,0.09,0.0035,0.000352,0.000556,30,0,0,0.10/0.15/0.15/0.20,0.05,80,400,480
sea,bleaching2,RUNS_carbon,1.25,0.00003,0.167,60,0.167,0.0152,0.0293,0.0443,0.0178,0.026,0.045,0.014,0.019,7.50E-04,1.98E-04,7.87E-04,2.57E-04,0.16,0.086,0.078,0.106,0.036,0.06,0.036,0.014,0.0077,0.0101,0.0112,0.00058,0.0012,0.0047,0.0038,0.0036,0.0022,0.005,0.0175,0.0162,0.018,0.015,0.015,0.015,0.76,2.71,3.88,0.00072,0.00057,0.076,4.25,2.25,2.6,0.09,0.0035,0.000352,0.000556,30,0,0,0.10/0.15/0.15/0.20,0.05,80,400,480
sea,bleaching4,RUNS_carbon,1.25,0.00003,0.167,60,0.167,0.0152,0.0293,0.0443,0.0178,0.026,0.045,0.014,0.019,7.50E-04,1.98E-04,7.87E-04,2.57E-04,0.32,0.172,0.156,0.212,0.072,0.12,0.072,0.014,0.0077,0.0101,0.0112,0.00058,0.0012,0.0047,0.0038,0.0036,0.0022,0.005,0.0175,0.0162,0.018,0.015,0.015,0.015,0.76,2.71,3.88,0.00072,0.00057,0.076,4.25,2.25,2.6,0.09,0.0035,0.000352,0.000556,30,0,0,0.10/0.15/0.15/0.20,0.05,80,400,480
